33.948901, -83.378378
Ashley Sirmans
Matthew Mooney
Time, Voltage (V), Temp (C), Temp (F), Raw %, filtered
2015-11-4 11:58:19, 644.53, 14.45, 58.02,0.09,0.01
2015-11-4 12:08:20, 629.88, 12.99, 55.38,0.01,0.01
2015-11-4 12:18:21, 605.47, 10.55, 50.98,0.12,0.02
2015-11-4 12:28:22, 668.95, 16.89, 62.41,0.05,0.02
2015-11-4 12:38:23, 649.41, 14.94, 58.89,0.05,0.03
2015-11-4 12:48:25, 649.41, 14.94, 58.89,0.02,0.03
2015-11-4 12:58:26, 649.41, 14.94, 58.89,0.06,0.03
2015-11-4 13:08:28, 625.00, 12.50, 54.50,0.16,0.04
2015-11-4 13:18:29, 654.30, 15.43, 59.77,0.11,0.05
2015-11-4 13:28:30, 615.23, 11.52, 52.74,0.11,0.05
2015-11-4 13:38:31, 644.53, 14.45, 58.02,0.07,0.06
2015-11-4 13:48:32, 571.29, 7.13, 44.83,0.08,0.06
2015-11-4 13:58:33, 664.06, 16.41, 61.53,0.01,0.05
2015-11-4 14:08:34, 600.59, 10.06, 50.11,0.06,0.05
2015-11-4 14:18:36, 629.88, 12.99, 55.38,0.03,0.05
2015-11-4 14:28:37, 625.00, 12.50, 54.50,0.02,0.05
2015-11-4 14:38:38, 639.65, 13.96, 57.14,0.04,0.05
2015-11-4 14:48:40, 659.18, 15.92, 60.65,0.08,0.05
2015-11-4 14:58:40, 634.77, 13.48, 56.26,0.30,0.08
2015-11-4 15:08:42, 634.77, 13.48, 56.26,0.56,0.13
2015-11-4 15:18:43, 654.30, 15.43, 59.77,0.64,0.18
2015-11-4 15:28:44, 673.83, 17.38, 63.29,0.23,0.18
2015-11-4 15:38:45, 634.77, 13.48, 56.26,0.18,0.18
2015-11-4 15:48:46, 639.65, 13.96, 57.14,0.22,0.19
2015-11-4 15:58:48, 625.00, 12.50, 54.50,0.10,0.18
2015-11-4 16:08:49, 654.30, 15.43, 59.77,0.02,0.16
2015-11-4 16:18:51, 649.41, 14.94, 58.89,0.01,0.15
2015-11-4 16:28:52, 620.12, 12.01, 53.62,0.04,0.14
2015-11-4 16:38:53, 625.00, 12.50, 54.50,0.06,0.13
2015-11-4 16:48:54, 605.47, 10.55, 50.98,0.04,0.12
2015-11-4 16:58:56, 590.82, 9.08, 48.35,0.07,0.11
2015-11-4 17:08:57, 629.88, 12.99, 55.38,0.01,0.10
2015-11-4 17:18:59, 610.35, 11.04, 51.86,0.06,0.10
2015-11-4 17:29:00, 610.35, 11.04, 51.86,0.05,0.09
2015-11-4 17:39:01, 625.00, 12.50, 54.50,0.01,0.09
2015-11-4 17:49:02, 615.23, 11.52, 52.74,0.15,0.09
2015-11-4 17:59:03, 610.35, 11.04, 51.86,0.54,0.14
2015-11-4 18:09:05, 610.35, 11.04, 51.86,0.36,0.16
2015-11-4 18:19:06, 615.23, 11.52, 52.74,0.31,0.17
2015-11-4 18:29:07, 620.12, 12.01, 53.62,0.11,0.17
2015-11-4 18:39:09, 600.59, 10.06, 50.11,0.13,0.16
2015-11-4 18:49:09, 625.00, 12.50, 54.50,0.16,0.16
2015-11-4 18:59:11, 634.77, 13.48, 56.26,1.42,0.29
2015-11-4 19:09:13, 610.35, 11.04, 51.86,2.28,0.49
2015-11-4 19:19:14, 605.47, 10.55, 50.98,1.58,0.60
2015-11-4 19:29:15, 620.12, 12.01, 53.62,0.58,0.59
2015-11-4 19:39:16, 585.94, 8.59, 47.47,0.36,0.57
2015-11-4 19:49:18, 610.35, 11.04, 51.86,0.27,0.54
2015-11-4 19:59:19, 605.47, 10.55, 50.98,0.18,0.50
2015-11-4 20:09:21, 625.00, 12.50, 54.50,0.06,0.46
2015-11-4 20:19:23, 625.00, 12.50, 54.50,0.10,0.42
2015-11-4 20:29:24, 600.59, 10.06, 50.11,0.03,0.38
2015-11-4 20:39:25, 610.35, 11.04, 51.86,0.05,0.35
2015-11-4 20:49:26, 605.47, 10.55, 50.98,0.07,0.32
2015-11-4 20:59:27, 634.77, 13.48, 56.26,0.06,0.30
2015-11-4 21:09:28, 576.17, 7.62, 45.71,0.04,0.27
2015-11-4 21:19:29, 615.23, 11.52, 52.74,0.07,0.25
2015-11-4 21:29:30, 625.00, 12.50, 54.50,0.01,0.23
2015-11-4 21:39:31, 620.12, 12.01, 53.62,0.05,0.21
2015-11-4 21:49:32, 605.47, 10.55, 50.98,0.02,0.19
2015-11-4 21:59:33, 625.00, 12.50, 54.50,0.09,0.18
2015-11-4 22:09:34, 600.59, 10.06, 50.11,0.04,0.17
2015-11-4 22:19:35, 605.47, 10.55, 50.98,0.07,0.16
2015-11-4 22:29:36, 571.29, 7.13, 44.83,0.02,0.14
2015-11-4 22:39:37, 600.59, 10.06, 50.11,0.06,0.13
2015-11-4 22:49:38, 581.05, 8.11, 46.59,0.06,0.13
2015-11-4 22:59:40, 595.70, 9.57, 49.23,0.11,0.13
2015-11-4 23:09:41, 576.17, 7.62, 45.71,0.09,0.12
2015-11-4 23:19:42, 571.29, 7.13, 44.83,0.25,0.14
2015-11-4 23:29:44, 600.59, 10.06, 50.11,0.18,0.14
2015-11-4 23:39:46, 610.35, 11.04, 51.86,0.09,0.13
2015-11-4 23:49:46, 595.70, 9.57, 49.23,0.03,0.12
2015-11-4 23:59:48, 615.23, 11.52, 52.74,0.11,0.12
