33.950327,  -83.380366
Cole Madray
Stephanie Petros
Time, Voltage (V), Temp (C), Temp (F) , Raw Percent, Filtered
2015-11-4 17:42:44, 678.71, 17.87, 64.17, 0.17, 0.02
2015-11-4 17:52:45, 678.71, 17.87, 64.17, 0.04, 0.02
2015-11-4 18:02:46, 678.71, 17.87, 64.17, 0.09, 0.03
2015-11-4 18:12:46, 668.95, 16.89, 62.41, 0.11, 0.04
2015-11-4 18:22:47, 673.83, 17.38, 63.29, 0.01, 0.03
2015-11-4 18:32:49, 673.83, 17.38, 63.29, 0.09, 0.04
2015-11-4 18:42:50, 678.71, 17.87, 64.17, 0.05, 0.04
2015-11-4 18:52:51, 668.95, 16.89, 62.41, 0.17, 0.05
2015-11-4 19:02:52, 673.83, 17.38, 63.29, 0.13, 0.06
2015-11-4 19:12:53, 668.95, 16.89, 62.41, 0.16, 0.07
2015-11-4 19:22:54, 664.06, 16.41, 61.53, 0.28, 0.09
2015-11-4 19:32:54, 664.06, 16.41, 61.53, 0.57, 0.14
2015-11-4 19:42:55, 664.06, 16.41, 61.53, 0.24, 0.15
2015-11-4 19:52:56, 664.06, 16.41, 61.53, 0.26, 0.16
2015-11-4 20:02:57, 668.95, 16.89, 62.41, 0.24, 0.17
2015-11-4 20:12:58, 664.06, 16.41, 61.53, 0.14, 0.17
2015-11-4 20:22:59, 668.95, 16.89, 62.41, 0.00, 0.15
2015-11-4 20:32:59, 664.06, 16.41, 61.53, 0.39, 0.17
2015-11-4 20:42:59, 664.06, 16.41, 61.53, 0.24, 0.18
2015-11-4 20:53:00, 668.95, 16.89, 62.41, 0.22, 0.18
2015-11-4 21:03:01, 664.06, 16.41, 61.53, 0.30, 0.19
2015-11-4 21:13:03, 664.06, 16.41, 61.53, 0.33, 0.21
2015-11-4 21:23:04, 664.06, 16.41, 61.53, 0.25, 0.21
2015-11-4 21:33:05, 664.06, 16.41, 61.53, 0.14, 0.21
2015-11-4 21:43:06, 659.18, 15.92, 60.65, 0.14, 0.20
2015-11-4 21:53:06, 659.18, 15.92, 60.65, 0.10, 0.19
2015-11-4 22:03:07, 664.06, 16.41, 61.53, 0.09, 0.18
2015-11-4 22:13:07, 664.06, 16.41, 61.53, 0.07, 0.17
