"V1", "V2", "V3", "V4", "V5", "V6"
2015-11-03 10:07:00, 727.54, 22.75, 72.96, 0.27, 0.46
2015-11-03 10:17:00, 732.42, 23.24, 73.84, 0.27, 0.44
2015-11-03 10:27:00, 742.19, 24.22, 75.59, 0.19, 0.42
2015-11-03 10:37:00, 742.19, 24.22, 75.59, 0.26, 0.4
2015-11-03 10:47:00, 747.07, 24.71, 76.47, 0.18, 0.38
2015-11-03 10:57:00, 751.95, 25.2, 77.35, 0.17, 0.36
2015-11-03 11:07:00, 751.95, 25.2, 77.35, 0.1, 0.33
2015-11-03 11:17:00, 751.95, 25.2, 77.35, 0.18, 0.32
2015-11-03 11:27:00, 756.84, 25.68, 78.23, 0.17, 0.3
2015-11-03 11:37:00, 756.84, 25.68, 78.23, 0.14, 0.29
2015-11-03 11:47:00, 761.72, 26.17, 79.11, 0.12, 0.27
2015-11-03 11:57:00, 761.72, 26.17, 79.11, 0.06, 0.25
2015-11-03 12:07:00, 761.72, 26.17, 79.11, 0.09, 0.23
2015-11-03 12:17:00, 756.84, 25.68, 78.23, 0.11, 0.22
2015-11-03 12:27:00, 756.84, 25.68, 78.23, 0.14, 0.21
2015-11-03 12:38:00, 756.84, 25.68, 78.23, 0.16, 0.21
2015-11-03 12:48:00, 761.72, 26.17, 79.11, 0.09, 0.2
2015-11-03 12:58:00, 766.6, 26.66, 79.99, 0.13, 0.19
2015-11-03 13:08:00, 761.72, 26.17, 79.11, 0.15, 0.19
2015-11-03 13:18:00, 766.6, 26.66, 79.99, 0.12, 0.18
2015-11-03 13:28:00, 766.6, 26.66, 79.99, 0.16, 0.18
2015-11-03 13:38:00, 771.48, 27.15, 80.87, 0.09, 0.17
2015-11-03 13:48:00, 771.48, 27.15, 80.87, 0.15, 0.17
2015-11-03 13:58:00, 766.6, 26.66, 79.99, 0.09, 0.16
2015-11-03 14:08:00, 766.6, 26.66, 79.99, 0.12, 0.16
2015-11-03 14:18:00, 766.6, 26.66, 79.99, 0.18, 0.16
2015-11-03 14:28:00, 771.48, 27.15, 80.87, 0.13, 0.16
2015-11-03 14:38:00, 771.48, 27.15, 80.87, 0.1, 0.15
2015-11-03 14:48:00, 771.48, 27.15, 80.87, 0.15, 0.15
2015-11-03 14:58:00, 776.37, 27.64, 81.75, 0.15, 0.15
2015-11-03 15:08:00, 776.37, 27.64, 81.75, 0.13, 0.15
2015-11-03 15:18:00, 776.37, 27.64, 81.75, 0.14, 0.15
2015-11-03 15:28:00, 776.37, 27.64, 81.75, 0.75, 0.21
2015-11-03 15:38:00, 781.25, 28.12, 82.62, 0.13, 0.2
2015-11-03 15:48:00, 771.48, 27.15, 80.87, 0.07, 0.19
2015-11-03 15:58:00, 771.48, 27.15, 80.87, 0.19, 0.19
2015-11-03 16:08:00, 771.48, 27.15, 80.87, 0.14, 0.18
2015-11-03 16:18:00, 771.48, 27.15, 80.87, 0.12, 0.18
2015-11-03 16:28:00, 766.6, 26.66, 79.99, 0.06, 0.17
2015-11-03 16:38:00, 766.6, 26.66, 79.99, 0.11, 0.16
2015-11-03 16:48:00, 766.6, 26.66, 79.99, 0.18, 0.16
2015-11-03 16:58:00, 766.6, 26.66, 79.99, 0.2, 0.17
2015-11-03 17:08:00, 766.6, 26.66, 79.99, 0.14, 0.16
2015-11-03 17:18:00, 766.6, 26.66, 79.99, 0.12, 0.16
2015-11-03 17:28:00, 766.6, 26.66, 79.99, 0.11, 0.15
2015-11-03 17:38:00, 766.6, 26.66, 79.99, 0.24, 0.16
2015-11-03 17:48:00, 766.6, 26.66, 79.99, 0.27, 0.17
2015-11-03 17:58:00, 766.6, 26.66, 79.99, 0.35, 0.19
2015-11-03 18:08:00, 761.72, 26.17, 79.11, 0.2, 0.19
2015-11-03 18:18:00, 761.72, 26.17, 79.11, 0.54, 0.23
2015-11-03 18:28:00, 756.84, 25.68, 78.23, 0.3, 0.23
2015-11-03 18:38:00, 751.95, 25.2, 77.35, 0.49, 0.26
2015-11-03 18:48:00, 751.95, 25.2, 77.35, 0.63, 0.3
2015-11-03 18:58:00, 747.07, 24.71, 76.47, 0.56, 0.32
2015-11-03 19:08:00, 742.19, 24.22, 75.59, 0.53, 0.34
2015-11-03 19:18:00, 737.3, 23.73, 74.71, 0.43, 0.35
2015-11-03 19:28:00, 742.19, 24.22, 75.59, 0.63, 0.38
2015-11-03 19:38:00, 742.19, 24.22, 75.59, 0.69, 0.41
2015-11-03 19:48:00, 742.19, 24.22, 75.59, 0.6, 0.43
2015-11-03 19:58:00, 737.3, 23.73, 74.71, 0.52, 0.44
2015-11-03 20:08:00, 737.3, 23.73, 74.71, 0.52, 0.45
2015-11-03 20:19:00, 737.3, 23.73, 74.71, 0.48, 0.45
2015-11-03 20:29:00, 732.42, 23.24, 73.84, 0.51, 0.46
2015-11-03 20:39:00, 732.42, 23.24, 73.84, 0.38, 0.45
2015-11-03 20:49:00, 727.54, 22.75, 72.96, 0.42, 0.45
2015-11-03 20:59:00, 722.66, 22.27, 72.08, 0.69, 0.47
2015-11-03 21:09:00, 727.54, 22.75, 72.96, 0.86, 0.51
2015-11-03 21:19:00, 722.66, 22.27, 72.08, 0.75, 0.53
2015-11-03 21:29:00, 722.66, 22.27, 72.08, 0.62, 0.54
2015-11-03 21:39:00, 712.89, 21.29, 70.32, 0.73, 0.56
2015-11-03 21:49:00, 717.77, 21.78, 71.2, 0.51, 0.56
2015-11-03 21:59:00, 717.77, 21.78, 71.2, 0.7, 0.57
2015-11-03 22:09:00, 712.89, 21.29, 70.32, 0.81, 0.59
2015-11-03 22:19:00, 712.89, 21.29, 70.32, 0.45, 0.58
2015-11-03 22:29:00, 712.89, 21.29, 70.32, 0.53, 0.58
2015-11-03 22:39:00, 708.01, 20.8, 69.44, 0.63, 0.58
2015-11-03 22:49:00, 712.89, 21.29, 70.32, 0.77, 0.6
2015-11-03 22:59:00, 708.01, 20.8, 69.44, 0.6, 0.6
2015-11-03 23:09:00, 712.89, 21.29, 70.32, 0.89, 0.63
2015-11-03 23:19:00, 708.01, 20.8, 69.44, 0.92, 0.66
2015-11-03 23:29:00, 712.89, 21.29, 70.32, 0.77, 0.67
2015-11-03 23:39:00, 708.01, 20.8, 69.44, 0.7, 0.67
2015-11-03 23:49:00, 708.01, 20.8, 69.44, 1.13, 0.72
2015-11-03 23:59:00, 703.13, 20.31, 68.56, 1.01, 0.75
2015-11-04 00:09:00, 698.24, 19.82, 67.68, 1.16, 0.79
2015-11-04 00:19:00, 703.13, 20.31, 68.56, 1.22, 0.83
2015-11-04 00:29:00, 698.24, 19.82, 67.68, 0.98, 0.85
2015-11-04 00:39:00, 698.24, 19.82, 67.68, 0.72, 0.83
2015-11-04 00:49:00, 703.13, 20.31, 68.56, 0.81, 0.83
2015-11-04 00:59:00, 703.13, 20.31, 68.56, 0.84, 0.83
2015-11-04 01:09:00, 703.13, 20.31, 68.56, 0.84, 0.83
2015-11-04 01:19:00, 698.24, 19.82, 67.68, 0.96, 0.84
2015-11-04 01:29:00, 703.13, 20.31, 68.56, 1.01, 0.86
2015-11-04 01:39:00, 698.24, 19.82, 67.68, 1.26, 0.9
2015-11-04 01:49:00, 698.24, 19.82, 67.68, 1.6, 0.97
2015-11-04 01:59:00, 698.24, 19.82, 67.68, 1, 0.97
2015-11-04 02:09:00, 698.24, 19.82, 67.68, 1.46, 1.02
2015-11-04 02:19:00, 693.36, 19.34, 66.8, 1.12, 1.03
2015-11-04 02:29:00, 693.36, 19.34, 66.8, 0.78, 1.01
2015-11-04 02:39:00, 693.36, 19.34, 66.8, 1.12, 1.02
2015-11-04 02:49:00, 693.36, 19.34, 66.8, 0.76, 0.99
2015-11-04 02:59:00, 693.36, 19.34, 66.8, 0.72, 0.97
2015-11-04 03:09:00, 693.36, 19.34, 66.8, 0.77, 0.95
2015-11-04 03:19:00, 693.36, 19.34, 66.8, 1.25, 0.98
2015-11-04 03:29:00, 693.36, 19.34, 66.8, 0.74, 0.95
2015-11-04 03:39:00, 693.36, 19.34, 66.8, 0.9, 0.95
2015-11-04 03:49:00, 693.36, 19.34, 66.8, 0.49, 0.9
2015-11-04 03:59:00, 693.36, 19.34, 66.8, 0.67, 0.88
2015-11-04 04:09:00, 688.48, 18.85, 65.93, 0.79, 0.87
2015-11-04 04:20:00, 693.36, 19.34, 66.8, 0.81, 0.86
2015-11-04 04:30:00, 693.36, 19.34, 66.8, 0.65, 0.84
2015-11-04 04:40:00, 688.48, 18.85, 65.93, 0.45, 0.8
2015-11-04 04:50:00, 693.36, 19.34, 66.8, 0.79, 0.8
2015-11-04 05:00:00, 688.48, 18.85, 65.93, 0.57, 0.78
2015-11-04 05:10:00, 688.48, 18.85, 65.93, 0.44, 0.74
2015-11-04 05:20:00, 688.48, 18.85, 65.93, 0.5, 0.72
2015-11-04 05:30:00, 688.48, 18.85, 65.93, 0.75, 0.72
2015-11-04 05:40:00, 688.48, 18.85, 65.93, 0.56, 0.71
2015-11-04 05:50:00, 688.48, 18.85, 65.93, 0.79, 0.72
2015-11-04 06:00:00, 683.59, 18.36, 65.05, 0.5, 0.69
