33.948632, -83.374454
Ryan Williams
Tristan Ulversoy
Time, Voltage (V), Temp (C), Temp (F), Raw (Percent), Filtered
2015-11-6 13:10:09, 722.66, 22.27, 72.08, 0.05, 0.01
2015-11-6 13:20:10, 717.77, 21.78, 71.20, 0.15, 0.02
2015-11-6 13:30:10, 717.77, 21.78, 71.20, 0.14, 0.03
2015-11-6 13:40:12, 717.77, 21.78, 71.20, 0.11, 0.04
2015-11-6 13:50:12, 722.66, 22.27, 72.08, 0.14, 0.05
2015-11-6 14:00:13, 717.77, 21.78, 71.20, 0.12, 0.06
2015-11-6 14:10:15, 722.66, 22.27, 72.08, 0.21, 0.07
2015-11-6 14:20:16, 717.77, 21.78, 71.20, 0.07, 0.07
2015-11-6 14:30:16, 708.01, 20.80, 69.44, 0.08, 0.07
2015-11-6 14:40:17, 708.01, 20.80, 69.44, 0.05, 0.07
2015-11-6 14:50:18, 712.89, 21.29, 70.32, 0.07, 0.07
2015-11-6 15:00:19, 708.01, 20.80, 69.44, 0.01, 0.06
2015-11-6 15:10:20, 712.89, 21.29, 70.32, 0.04, 0.06
2015-11-6 15:20:21, 708.01, 20.80, 69.44, 0.04, 0.06
2015-11-6 15:30:22, 708.01, 20.80, 69.44, 0.03, 0.06
2015-11-6 15:40:23, 712.89, 21.29, 70.32, 0.01, 0.05
2015-11-6 15:50:23, 712.89, 21.29, 70.32, 0.09, 0.06
2015-11-6 16:00:25, 717.77, 21.78, 71.20, 0.03, 0.05
2015-11-6 16:10:26, 717.77, 21.78, 71.20, 0.08, 0.06
2015-11-6 16:20:27, 712.89, 21.29, 70.32, 0.07, 0.06
2015-11-6 16:30:28, 712.89, 21.29, 70.32, 0.08, 0.06
2015-11-6 16:40:29, 708.01, 20.80, 69.44, 0.07, 0.06
2015-11-6 16:50:29, 708.01, 20.80, 69.44, 0.10, 0.06
2015-11-6 17:00:30, 703.13, 20.31, 68.56, 0.02, 0.06
2015-11-6 17:10:31, 693.36, 19.34, 66.80, 0.02, 0.06
2015-11-6 17:20:32, 683.59, 18.36, 65.05, 0.03, 0.05
2015-11-6 17:30:34, 683.59, 18.36, 65.05, 0.05, 0.05
2015-11-6 17:40:35, 678.71, 17.87, 64.17, 0.09, 0.06
2015-11-6 17:50:35, 688.48, 18.85, 65.93, 0.07, 0.06
2015-11-6 18:00:36, 693.36, 19.34, 66.80, 0.11, 0.06
2015-11-6 18:10:38, 693.36, 19.34, 66.80, 0.14, 0.07
2015-11-6 18:20:38, 693.36, 19.34, 66.80, 0.10, 0.07
2015-11-6 18:30:39, 698.24, 19.82, 67.68, 0.07, 0.07
