33.9496, -83.3816
Jozie Lewis
Alyssa McDonald
Time, Voltage (V), Temp (C), Temp (F) , Raw Percent, Filtered
2015-11-9 17:19:57, 590.82, 9.08, 48.35, 0.08, 0.01
2015-11-9 17:29:58, 590.82, 9.08, 48.35, 0.04, 0.01
2015-11-9 17:39:59, 595.70, 9.57, 49.23, 0.06, 0.02
2015-11-9 17:50:00, 595.70, 9.57, 49.23, 0.04, 0.02
2015-11-9 18:00:00, 600.59, 10.06, 50.11, 0.06, 0.02
2015-11-9 18:10:00, 600.59, 10.06, 50.11, 0.01, 0.02
2015-11-9 18:20:01, 595.70, 9.57, 49.23, 0.05, 0.02
2015-11-9 18:30:02, 595.70, 9.57, 49.23, 0.03, 0.02
2015-11-9 18:40:02, 600.59, 10.06, 50.11, 0.05, 0.03
2015-11-9 18:50:03, 595.70, 9.57, 49.23, 0.05, 0.03
2015-11-9 19:00:04, 600.59, 10.06, 50.11, 0.04, 0.03
2015-11-9 19:10:04, 595.70, 9.57, 49.23, 0.11, 0.04
2015-11-9 19:20:05, 595.70, 9.57, 49.23, 0.03, 0.04
2015-11-9 19:30:06, 600.59, 10.06, 50.11, 0.03, 0.04
2015-11-9 19:40:06, 600.59, 10.06, 50.11, 0.08, 0.04
2015-11-9 19:50:07, 600.59, 10.06, 50.11, 0.07, 0.04
2015-11-9 20:00:08, 600.59, 10.06, 50.11, 0.07, 0.05
2015-11-9 20:10:08, 600.59, 10.06, 50.11, 0.11, 0.05
2015-11-9 20:20:09, 600.59, 10.06, 50.11, 0.16, 0.06
2015-11-9 20:30:10, 600.59, 10.06, 50.11, 0.08, 0.07
2015-11-9 20:40:10, 600.59, 10.06, 50.11, 0.16, 0.08
2015-11-9 20:50:11, 595.70, 9.57, 49.23, 0.10, 0.08
2015-11-9 21:00:11, 600.59, 10.06, 50.11, 0.12, 0.08
