33.9497, -83.3804
Raahul Soundappan
Amanda Moller
Time, Voltage (V), Temp (C), Temp (F) , Raw Percent, Filtered
2015-11-5 17:15:55, 683.59, 18.36, 65.05, 0.13, 0.01
2015-11-5 17:25:56, 678.71, 17.87, 64.17, 0.12, 0.02
2015-11-5 17:35:57, 678.71, 17.87, 64.17, 0.09, 0.03
2015-11-5 17:45:58, 678.71, 17.87, 64.17, 0.08, 0.04
2015-11-5 17:55:59, 673.83, 17.38, 63.29, 0.14, 0.05
2015-11-5 18:06:00, 683.59, 18.36, 65.05, 0.14, 0.06
2015-11-5 18:16:01, 683.59, 18.36, 65.05, 0.15, 0.06
2015-11-5 18:26:02, 678.71, 17.87, 64.17, 0.18, 0.08
2015-11-5 18:36:03, 678.71, 17.87, 64.17, 0.20, 0.09
2015-11-5 18:46:04, 678.71, 17.87, 64.17, 0.14, 0.09
2015-11-5 18:56:05, 673.83, 17.38, 63.29, 0.19, 0.10
2015-11-5 19:06:06, 673.83, 17.38, 63.29, 0.17, 0.11
2015-11-5 19:16:07, 673.83, 17.38, 63.29, 0.12, 0.11
2015-11-5 19:26:09, 678.71, 17.87, 64.17, 0.14, 0.12
2015-11-5 19:36:10, 678.71, 17.87, 64.17, 0.16, 0.12
2015-11-5 19:46:11, 678.71, 17.87, 64.17, 0.14, 0.12
2015-11-5 19:56:12, 673.83, 17.38, 63.29, 0.08, 0.12
2015-11-5 20:06:13, 673.83, 17.38, 63.29, 0.08, 0.11
2015-11-5 20:16:14, 678.71, 17.87, 64.17, 0.18, 0.12
2015-11-5 20:26:15, 678.71, 17.87, 64.17, 0.20, 0.13
2015-11-5 20:36:16, 678.71, 17.87, 64.17, 0.20, 0.14
2015-11-5 20:46:18, 673.83, 17.38, 63.29, 0.26, 0.15
2015-11-5 20:56:19, 673.83, 17.38, 63.29, 0.19, 0.15
2015-11-5 21:06:20, 678.71, 17.87, 64.17, 0.21, 0.16
2015-11-5 21:16:21, 678.71, 17.87, 64.17, 0.20, 0.16
2015-11-5 21:26:22, 678.71, 17.87, 64.17, 0.28, 0.17
2015-11-5 21:36:23, 673.83, 17.38, 63.29, 0.37, 0.19
2015-11-5 21:46:24, 678.71, 17.87, 64.17, 0.37, 0.21
2015-11-5 21:56:25, 678.71, 17.87, 64.17, 0.27, 0.22
2015-11-5 22:06:26, 678.71, 17.87, 64.17, 0.39, 0.24
2015-11-5 22:16:27, 678.71, 17.87, 64.17, 0.24, 0.24
2015-11-5 22:26:28, 678.71, 17.87, 64.17, 0.31, 0.24
2015-11-5 22:36:30, 678.71, 17.87, 64.17, 0.23, 0.24
2015-11-5 22:46:30, 678.71, 17.87, 64.17, 0.38, 0.25
2015-11-5 22:56:31, 678.71, 17.87, 64.17, 0.30, 0.26
2015-11-5 23:06:33, 678.71, 17.87, 64.17, 0.18, 0.25
