34.112672, -84.543718
Corey Loeb
Ming Qin
Time, Voltage (V), Temp (C), Temp (F), Raw (Percent)
2015-11-7 19:303:23, 659.18, 15.92, 60.65, 0.68, 0.07
2015-11-7 19:13:24, 649.41, 14.94, 58.89, 0.17, 0.08
2015-11-7 19:23:25, 644.53, 14.45, 58.02, 0.06, 0.08
2015-11-7 19:33:26, 644.53, 14.45, 58.02, 0.01, 0.07
2015-11-7 19:43:27, 644.53, 14.45, 58.02, 0.13, 0.08
2015-11-7 19:53:28, 644.53, 14.45, 58.02, 0.04, 0.07
2015-11-7 20:303:29, 639.65, 13.96, 57.14, 0.16, 0.08
2015-11-7 20:13:31, 639.65, 13.96, 57.14, 0.26, 0.10
2015-11-7 20:23:31, 639.65, 13.96, 57.14, 0.25, 0.11
2015-11-7 20:33:32, 634.77, 13.48, 56.26, 0.15, 0.12
2015-11-7 20:43:33, 629.88, 12.99, 55.38, 0.29, 0.14
2015-11-7 20:53:35, 629.88, 12.99, 55.38, 0.13, 0.13
2015-11-7 21:303:36, 625.00, 12.50, 54.50, 0.19, 0.14
2015-11-7 21:13:37, 625.00, 12.50, 54.50, 0.49, 0.17
2015-11-7 21:23:37, 625.00, 12.50, 54.50, 0.18, 0.18
2015-11-7 21:33:38, 620.12, 12.01, 53.62, 0.21, 0.18
2015-11-7 21:43:40, 620.12, 12.01, 53.62, 0.17, 0.18
2015-11-7 21:53:41, 620.12, 12.01, 53.62, 0.17, 0.18
2015-11-7 22:303:42, 625.00, 12.50, 54.50, 0.27, 0.19
2015-11-7 22:13:43, 620.12, 12.01, 53.62, 0.15, 0.18
2015-11-7 22:23:44, 620.12, 12.01, 53.62, 0.23, 0.19
2015-11-7 22:33:45, 620.12, 12.01, 53.62, 0.30, 0.20
2015-11-7 22:43:45, 620.12, 12.01, 53.62, 0.16, 0.19
2015-11-7 22:53:46, 620.12, 12.01, 53.62, 0.18, 0.19
2015-11-7 23:303:48, 620.12, 12.01, 53.62, 0.28, 0.20
2015-11-7 23:13:49, 620.12, 12.01, 53.62, 0.28, 0.21
2015-11-7 23:23:50, 620.12, 12.01, 53.62, 0.15, 0.20
2015-11-7 23:33:51, 615.23, 11.52, 52.74, 0.22, 0.21
2015-11-7 23:43:52, 615.23, 11.52, 52.74, 0.11, 0.20
2015-11-7 23:53:53, 615.23, 11.52, 52.74, 0.15, 0.19
2015-11-8 0:303:54, 615.23, 11.52, 52.74, 0.41, 0.21
2015-11-8 0:13:55, 615.23, 11.52, 52.74, 0.37, 0.23
2015-11-8 0:23:56, 610.35, 11.04, 51.86, 0.42, 0.25
2015-11-8 0:33:57, 615.23, 11.52, 52.74, 0.14, 0.24
2015-11-8 0:43:58, 615.23, 11.52, 52.74, 0.24, 0.24
2015-11-8 0:54:00, 615.23, 11.52, 52.74, 0.02, 0.22
2015-11-8 1:404:00, 610.35, 11.04, 51.86, 0.25, 0.22
2015-11-8 1:14:01, 615.23, 11.52, 52.74, 0.29, 0.23
2015-11-8 1:24:02, 610.35, 11.04, 51.86, 0.23, 0.23
2015-11-8 1:34:03, 610.35, 11.04, 51.86, 0.02, 0.21
2015-11-8 1:44:04, 610.35, 11.04, 51.86, 0.17, 0.20
2015-11-8 1:54:06, 610.35, 11.04, 51.86, 0.37, 0.22
2015-11-8 2:404:07, 610.35, 11.04, 51.86, 0.28, 0.23
2015-11-8 2:14:08, 610.35, 11.04, 51.86, 0.21, 0.22
2015-11-8 2:24:09, 610.35, 11.04, 51.86, 0.16, 0.22
2015-11-8 2:34:11, 615.23, 11.52, 52.74, 0.13, 0.21
2015-11-8 2:44:11, 610.35, 11.04, 51.86, 0.28, 0.22
2015-11-8 2:54:12, 615.23, 11.52, 52.74, 0.13, 0.21
2015-11-8 3:404:13, 610.35, 11.04, 51.86, 0.13, 0.20
2015-11-8 3:14:14, 610.35, 11.04, 51.86, 0.14, 0.19
2015-11-8 3:24:16, 615.23, 11.52, 52.74, 0.10, 0.18
2015-11-8 3:34:17, 610.35, 11.04, 51.86, 0.18, 0.18
2015-11-8 3:44:19, 610.35, 11.04, 51.86, 0.19, 0.19
2015-11-8 3:54:19, 610.35, 11.04, 51.86, 0.08, 0.17
2015-11-8 4:404:21, 610.35, 11.04, 51.86, 0.22, 0.18
2015-11-8 4:14:22, 610.35, 11.04, 51.86, 0.43, 0.20
2015-11-8 4:24:23, 610.35, 11.04, 51.86, 0.08, 0.19
2015-11-8 4:34:25, 615.23, 11.52, 52.74, 0.14, 0.19
2015-11-8 4:44:26, 610.35, 11.04, 51.86, 0.07, 0.17
2015-11-8 4:54:27, 615.23, 11.52, 52.74, 0.29, 0.19
2015-11-8 5:404:29, 615.23, 11.52, 52.74, 0.17, 0.18
2015-11-8 5:14:30, 615.23, 11.52, 52.74, 0.16, 0.18
2015-11-8 5:24:31, 610.35, 11.04, 51.86, 0.11, 0.18
2015-11-8 5:34:32, 615.23, 11.52, 52.74, 0.12, 0.17
2015-11-8 5:44:33, 615.23, 11.52, 52.74, 0.26, 0.18
2015-11-8 5:54:34, 615.23, 11.52, 52.74, 0.14, 0.17
2015-11-8 6:404:35, 615.23, 11.52, 52.74, 0.08, 0.17
2015-11-8 6:14:36, 615.23, 11.52, 52.74, 0.14, 0.16
2015-11-8 6:24:38, 610.35, 11.04, 51.86, 0.24, 0.17
2015-11-8 6:34:39, 615.23, 11.52, 52.74, 0.16, 0.17
2015-11-8 6:44:40, 615.23, 11.52, 52.74, 0.18, 0.17
2015-11-8 6:54:41, 615.23, 11.52, 52.74, 0.30, 0.18
2015-11-8 7:404:42, 615.23, 11.52, 52.74, 0.26, 0.19
2015-11-8 7:14:43, 615.23, 11.52, 52.74, 0.06, 0.18
2015-11-8 7:24:44, 610.35, 11.04, 51.86, 0.15, 0.18
2015-11-8 7:34:46, 615.23, 11.52, 52.74, 0.17, 0.17
2015-11-8 7:44:47, 610.35, 11.04, 51.86, 0.08, 0.17
2015-11-8 7:54:48, 615.23, 11.52, 52.74, 0.09, 0.16
2015-11-8 8:404:49, 610.35, 11.04, 51.86, 0.18, 0.16
2015-11-8 8:14:50, 615.23, 11.52, 52.74, 0.08, 0.15
2015-11-8 8:24:52, 610.35, 11.04, 51.86, 0.10, 0.15
2015-11-8 8:34:52, 610.35, 11.04, 51.86, 0.11, 0.14
2015-11-8 8:44:53, 610.35, 11.04, 51.86, 0.08, 0.14
2015-11-8 8:54:54, 610.35, 11.04, 51.86, 0.09, 0.13
2015-11-8 9:404:55, 610.35, 11.04, 51.86, 0.27, 0.15
2015-11-8 9:14:56, 615.23, 11.52, 52.74, 0.09, 0.14
2015-11-8 9:24:57, 610.35, 11.04, 51.86, 0.17, 0.14
2015-11-8 9:34:58, 610.35, 11.04, 51.86, 0.12, 0.14
2015-11-8 9:44:59, 615.23, 11.52, 52.74, 0.09, 0.14
2015-11-8 9:55:00, 615.23, 11.52, 52.74, 0.11, 0.13
2015-11-8 10:505:01, 620.12, 12.01, 53.62, 0.14, 0.13
2015-11-8 10:15:02, 625.00, 12.50, 54.50, 0.12, 0.13
2015-11-8 10:25:03, 625.00, 12.50, 54.50, 0.10, 0.13
2015-11-8 10:35:04, 625.00, 12.50, 54.50, 0.08, 0.12
2015-11-8 10:45:05, 625.00, 12.50, 54.50, 0.07, 0.12
2015-11-8 10:55:07, 625.00, 12.50, 54.50, 0.10, 0.12
2015-11-8 11:505:08, 629.88, 12.99, 55.38, 0.03, 0.11
2015-11-8 11:15:10, 634.77, 13.48, 56.26, 0.02, 0.10
2015-11-8 11:25:11, 634.77, 13.48, 56.26, 0.06, 0.10
2015-11-8 11:35:12, 634.77, 13.48, 56.26, 0.05, 0.09
2015-11-8 11:45:13, 644.53, 14.45, 58.02, 0.08, 0.09
2015-11-8 11:55:13, 639.65, 13.96, 57.14, 0.11, 0.09
2015-11-8 12:505:14, 639.65, 13.96, 57.14, 0.10, 0.09
2015-11-8 12:15:16, 639.65, 13.96, 57.14, 0.05, 0.09
2015-11-8 12:25:17, 634.77, 13.48, 56.26, 0.07, 0.09
2015-11-8 12:35:18, 639.65, 13.96, 57.14, 0.19, 0.10
2015-11-8 12:45:20, 625.00, 12.50, 54.50, 0.05, 0.09
2015-11-8 12:55:21, 620.12, 12.01, 53.62, 0.13, 0.10
2015-11-8 13:505:22, 615.23, 11.52, 52.74, 0.03, 0.09
2015-11-8 13:15:23, 605.47, 10.55, 50.98, 0.17, 0.10
2015-11-8 13:25:24, 610.35, 11.04, 51.86, 0.12, 0.10
2015-11-8 13:35:25, 610.35, 11.04, 51.86, 0.08, 0.10
2015-11-8 13:45:26, 610.35, 11.04, 51.86, 0.06, 0.09
2015-11-8 13:55:27, 615.23, 11.52, 52.74, 0.05, 0.09
2015-11-8 14:505:29, 610.35, 11.04, 51.86, 0.06, 0.09
2015-11-8 14:15:30, 610.35, 11.04, 51.86, 0.11, 0.09
2015-11-8 14:25:31, 610.35, 11.04, 51.86, 0.10, 0.09
2015-11-8 14:35:32, 610.35, 11.04, 51.86, 0.07, 0.09
2015-11-8 14:45:34, 615.23, 11.52, 52.74, 0.13, 0.09
2015-11-8 14:55:34, 615.23, 11.52, 52.74, 0.06, 0.09
2015-11-8 15:505:36, 610.35, 11.04, 51.86, 0.11, 0.09
2015-11-8 15:15:38, 610.35, 11.04, 51.86, 0.07, 0.09
2015-11-8 15:25:39, 615.23, 11.52, 52.74, 0.07, 0.09
2015-11-8 15:35:41, 610.35, 11.04, 51.86, 0.10, 0.09
2015-11-8 15:45:42, 600.59, 10.06, 50.11, 0.03, 0.08
2015-11-8 15:55:42, 595.70, 9.57, 49.23, 0.09, 0.08
2015-11-8 16:505:43, 595.70, 9.57, 49.23, 0.05, 0.08
2015-11-8 16:15:44, 590.82, 9.08, 48.35, 0.11, 0.08
2015-11-8 16:25:45, 595.70, 9.57, 49.23, 0.10, 0.09
