Group,Hour,Day,PM_mean,PM_sd,Time,,,,
TEAM1,10,11/4/2015,0.09,NA,11/4/2015 10:58,,,,
TEAM1,10,11/5/2015,0.05,0.024083189,11/5/2015 10:34,,,,
TEAM1,10,11/6/2015,0.29,NA,11/6/2015 10:51,,,,
TEAM1,10,11/9/2015,0.065,0.034448028,11/9/2015 10:27,,,,
TEAM1,11,11/4/2015,0.05,0.038686776,11/4/2015 11:33,,,,
TEAM1,11,11/5/2015,0.055,0.024832774,11/5/2015 11:29,,,,
TEAM1,11,11/6/2015,0.035,0.020976177,11/6/2015 11:26,,,,
TEAM1,11,11/9/2015,0.07,0.025625508,11/9/2015 11:27,,,,
TEAM1,12,11/4/2015,0.095,0.050199602,11/4/2015 12:33,,,,
TEAM1,12,11/5/2015,0.025,0.01602082,11/5/2015 12:29,,,,
TEAM1,12,11/6/2015,0.11,0.105782796,11/6/2015 12:26,,,,
TEAM1,12,11/8/2015,0.33,NA,11/8/2015 12:56,,,,
TEAM1,12,11/9/2015,0.02,0.023664319,11/9/2015 12:28,,,,
TEAM1,13,11/4/2015,0.05,0.105908766,11/4/2015 13:33,,,,
TEAM1,13,11/5/2015,0.06,0.043089055,11/5/2015 13:29,,,,
TEAM1,13,11/6/2015,0.1,0.094109865,11/6/2015 13:27,,,,
TEAM1,13,11/7/2015,0.06,NA,11/7/2015 13:54,,,,
TEAM1,13,11/8/2015,0.135,0.059132619,11/8/2015 13:31,,,,
TEAM1,13,11/9/2015,0.05,0.040987803,11/9/2015 13:28,,,,
TEAM1,14,11/4/2015,0.225,0.221848297,11/4/2015 14:33,,,,
TEAM1,14,11/5/2015,0.045,0.015165751,11/5/2015 14:29,,,,
TEAM1,14,11/6/2015,0.075,0.035777088,11/6/2015 14:27,,,,
TEAM1,14,11/7/2015,0.05,0.051768716,11/7/2015 14:29,,,,
TEAM1,14,11/8/2015,0.095,0.038297084,11/8/2015 14:31,,,,
TEAM1,14,11/9/2015,0.02,0.033714487,11/9/2015 14:28,,,,
TEAM1,15,11/4/2015,0.04,0.022803509,11/4/2015 15:33,,,,
TEAM1,15,11/5/2015,0.04,0.013784049,11/5/2015 15:29,,,,
TEAM1,15,11/6/2015,0.06,0.062928531,11/6/2015 15:27,,,,
TEAM1,15,11/7/2015,0.05,0.023380904,11/7/2015 15:29,,,,
TEAM1,15,11/8/2015,0.09,0.027141604,11/8/2015 15:31,,,,
TEAM1,15,11/9/2015,0.065,0.02857738,11/9/2015 15:28,,,,
TEAM1,16,11/4/2015,0.055,0.204124145,11/4/2015 16:34,,,,
TEAM1,16,11/5/2015,0.07,0.031885211,11/5/2015 16:30,,,,
TEAM1,16,11/6/2015,0.44,0.796603205,11/6/2015 16:27,,,,
TEAM1,16,11/7/2015,0.065,0.19093629,11/7/2015 16:29,,,,
TEAM1,16,11/8/2015,0.05,0.033862467,11/8/2015 16:31,,,,
TEAM1,16,11/9/2015,0.1,0.043204938,11/9/2015 16:28,,,,
TEAM1,17,11/4/2015,0.235,0.502662909,11/4/2015 17:34,,,,
TEAM1,17,11/5/2015,0.05,0.059805239,11/5/2015 17:30,,,,
TEAM1,17,11/6/2015,0.16,0.035449495,11/6/2015 17:27,,,,
TEAM1,17,11/7/2015,0.215,0.056361926,11/7/2015 17:29,,,,
TEAM1,17,11/8/2015,0.065,0.0332666,11/8/2015 17:31,,,,
TEAM1,17,11/9/2015,0.09,0.049966656,11/9/2015 17:28,,,,
TEAM1,18,11/4/2015,0.47,0.857012252,11/4/2015 18:34,,,,
TEAM1,18,11/5/2015,0.05,0.03920034,11/5/2015 18:30,,,,
TEAM1,18,11/6/2015,0.105,0.025298221,11/6/2015 18:27,,,,
TEAM1,18,11/7/2015,0.195,0.13985707,11/7/2015 18:29,,,,
